Restaurant Name,Longitude,Latitude
Tapas Barcelona,-87.6790432886834,42.0467358228527
Lao Sze Chuan,-87.6794761703989,42.0484617951801
5411 Empanadas,-87.6818490258666,42.0473099895443
Hokkaido Ramen,-87.6827221308744,42.048481585396
Tomo Japanese Street Food,-87.6820456173816,42.0496123841265
Kuni's Japanese Restaurant,-87.6784904173821,42.0342161552148
Kansaku,-87.6818365541601,42.0454426292713
Taco Diablo,-87.6863141310051,42.047054012618
Fridas,-87.6800256490597,42.048097074123
Edzo's Burger Shop,-87.6806617086737,42.0463341229555
Kabul House,-87.7062014068541,42.0413690715813
Table to Stix Ramen,-87.6848764670181,42.0473009947312
Cross Rhodes,", -87.67915254400617",42.0346990825931
Trattoria Demi,-87.6815067871223,42.0462435940524
Trattoria DOC,-87.6808545708747,42.0339301434081
Campagnola,-87.678848337731,42.0327622181561
Dave's Italian Kitchen,-87.6814537370828,42.0588991255096
Panino's Pizzeria,-87.7000352547025,42.0410182381562
Sweet Green,-87.6814409006151,42.0473594767899
Picnic,-87.6788524811457,42.0468660562655
Soul & Smoke,-87.6945310168592,42.0575650223928
Union Pizzeria,-87.6799329332671,42.0410235701866
Graduate Homestead Room,-87.676463000731,42.0466403568033
Philz Coffee,-87.686573938175,42.0468498540733
Brothers K Coffeehouse,-87.6779131510496,42.0339132832827
Rezas,-87.681675766285,42.0459687222266
Elephant & Vine,-87.6813024705661,42.0487167071252
Barn Steakhouse,-87.6861102831263,42.0482251773455
Clarkes Off Campus,-87.6823659194539,42.0468229639681
Zentli,-87.6981940109203,42.0414375774267
LeTour,-87.6806243403683,42.0468411374098
Jimmy Johns,-87.6814741134436,42.0495262426455
Evanston Chicken Shack,-87.6874112000364,42.0528532442119
Celtic Knot Public House,-87.6794282700452,42.0480838521573
Papa Bop,-87.6796870525496,42.0374578747141
Fonda Cantina,-87.6829339709121,42.0497323282824
Peppercorns Kitchen,-87.6809115173817,42.0466027713246
Tealicious,-87.6813002570346,42.0460125424524
Le Peep,-87.6828940865094,42.0486427881911
Alcove,-87.6846631668296,42.0476250319327
Oceanique,-87.6780235189875,42.0340783795397
Kung Fu Tea,-87.6811105692233,42.0499120289716
Claire's Korner,-87.6982217364939,42.0524825990221
Mt. Everest Restaurant,-87.6804199020387,42.0481207862104
Mumbai Indian Grill,-87.6819716290243,42.0496774820924
Steak n' Shake,-87.7063317179247,42.0268667763769
Chipotle,-87.6807873963961,42.0486786660826
Taste of Nepal,-87.68031856856,42.0461639211832
Shangri-La Evanston,-87.6786096597102,42.0459583298107
Epic Burger,-87.6821259070846,42.0480435140037
Joy Yee Noodle,-87.6785232932105,42.0463435745882
Sketchbook Brewing Co,-87.6788066723665,42.0329832710116
Kilwin's,-87.682076164452,42.0494897860149
Pâtisserie Coralie,-87.6800097597102,42.0462225231936
Cozy Noodles and Rice,-87.685953173203,42.0470819557511
Nakorn,-87.6812689866958,42.0477335528603
Prairie Moon,-87.6788454771301,42.0475314110819
Hecky's BBQ,-87.6882868344677,42.0527215935534
Soban Korea,-87.6826836383916,42.0585431600235
Burger King,-87.696717116074,42.042070242327
Sarah's Brick Oven,-87.7287490449103,42.0267278344955
Leonidas Cafe Chocolaterie,-87.6991041779858,42.0644808879162
Evanston Games & Cafe,-87.6851033234742,42.0476100859819
Shinsen ,-87.6802214466565,42.0421734546697
Dos Bros,87.6827,42.0486
Guzman y Gomez,87.6815,42.0489
Parlor on Central,87.7049,42.0644
Mensch's Deli,87.6791,42.0456
